,SongName,ArtistName
"278,Bu Benim Öyküm,""Eli Türkoğlu, Tuğçe Kandemir"""
279,Estamos Bien,Bad Bunny
280,Thunder,Imagine Dragons
"281,Like I Do,""David Guetta, Martin Garrix, Brooks"""
282,Perfect,Ed Sheeran
283,Stay Up,Sophie Francis
284,All Girls Are The Same,Juice WRLD
285,Thunder,Imagine Dragons
286,Lonely Together (feat. Rita Ora),Avicii
287,Beautiful Soul,Jesse McCartney
288,Say So (feat. Nicki Minaj),Doja Cat
"289,""Let Me Go (with Alesso, Florida Georgia Line & watt)"",Hailee Steinfeld"
"290,Olé Olé,""Capital Bra, RAF Camora, Joshi Mizu"""
"291,Closer,""The Chainsmokers, Halsey"""
"292,Loco Contigo (feat. J. Balvin & Tyga),""DJ Snake, J Balvin"""
293,Summertime Magic,Childish Gambino
294,Nonstop,Drake
295,Have You Ever Seen The Rain,Creedence Clearwater Revival
296,Öyle Kolaysa,Mabel Matiz
297,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran
298,Stepping Stone,Eminem
"299,Mama,""Jonas Blue, William Singe"""
300,Daisies,Katy Perry
301,Blinding Lights,The Weeknd
302,SAD!,XXXTENTACION
"303,Amigos Con Derechos,""Reik, Maluma"""
304,WORKIN ME,Quavo
"305,Promises (with Sam Smith),""Calvin Harris, Jessie Reyez"""
306,Una grande festa,Luca Carboni
307,Ahora,J Balvin
"308,OUT WEST (feat. Young Thug),""JACKBOYS, Travis Scott"""
309,I Like Me Better,Lauv
310,cigarettes of ours,Ardhito Pramono
311,IDGAF,Dua Lipa
312,Home With You,Madison Beer
313,Spark,Benny Jamz
314,IDGAF,Dua Lipa
315,Back To You,Selena Gomez
316,APESHIT,The Carters
"317,Something Just Like This,""The Chainsmokers, Coldplay"""
318,WHISTLE - KR Ver.,BLACKPINK
"319,No Te Creas Tan Importante - En Vivo,""Damas Gratis, Viru Kumbieron"""
320,ילדים כאלה,Eden Hason
321,I Wanna Know (feat. Bea Miller),NOTD
322,There's Nothing Holdin' Me Back,Shawn Mendes
"323,Closer,""The Chainsmokers, Halsey"""
324,Carmesí,Vicente Garcia
325,Nonstop,Drake
326,New Rules,Dua Lipa
327,Unica,Ozuna
328,Dimelo,Paulo Londra
329,Melody (feat. James Blunt),Lost Frequencies
"330,Me Llama Todavia - Remix,""Super Yei, Agus Padilla, Towy, Osquel, Gotay """"El Autentiko"""""""
"331,FRIENDS,""Marshmello, Anne-Marie"""
332,Symphony (feat. Zara Larsson),Clean Bandit
333,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino
"334,EWA,""Bizzey, Mula B, LouiVos"""
335,Summertime Magic,Childish Gambino
"336,No Me Acuerdo,""Thalia, Natti Natasha"""
"337,I Like It,""Cardi B, Bad Bunny, J Balvin"""
338,Moonlight,XXXTENTACION
339,ROXANNE,Arizona Zervas
340,Girls Like You (feat. Cardi B),Maroon 5
341,連名帶姓,A-Mei Chang
342,Someone You Loved,Lewis Capaldi
343,Den Eho Polla,Konstantinos Argiros
"344,Tusa,""KAROL G, Nicki Minaj"""
"345,Hades,""Bushido, Samra"""
346,KILLING ME,iKON
347,Davide (feat. Coez),Gemitaiz
"348,In My Mind,""Dynoro, Gigi D'Agostino"""
349,She Caribbean,Flying Saucer Gang
350,Answer : Love Myself,BTS
351,rockstar (feat. 21 Savage),Post Malone
"352,Real Friends,""Camila Cabello, Swae Lee"""
353,God's Plan,Drake
354,Everybody Dies In Their Nightmares,XXXTENTACION
355,secret base 〜君がくれたもの〜,ZONE
356,Bebe (feat. Anuel AA),Ozuna
357,breathin,Ariana Grande
358,Für Euch alle (feat. Samra & Capital Bra),Bushido
359,Meskipun Kau Tahu,Projector Band
360,Ne Farkeder,Yüzyüzeyken Konuşuruz
361,Thunder,Imagine Dragons
"362,Quiero Volver,""TINI, Sebastian Yatra"""
363,Flavor Of Life,Hikaru Utada
364,Quien Sabe,Natti Natasha
365,What Lovers Do (feat. SZA),Maroon 5
366,We Can Do Better,Matt Simons
367,Without You (feat. Sandro Cavazza),Avicii
"368,Bad Love,""Sean Paul, Ellie Goulding"""
369,Madura (feat. Bad Bunny),Cosculluela
370,Youngblood,5 Seconds of Summer
371,Gelsin Öpsün Kalbimi,Güliz Ayla
"372,Casualidad,""Nacho, Ozuna"""
373,Mr. Brightside,The Killers
"374,Rise,""Jonas Blue, Jack & Jack"""
375,Thinking out Loud,Ed Sheeran
376,Pamit,Tulus
"377,BAD CON NICKY,""Bad Bunny, Nicky Jam"""
378,Seven Nation Army,The White Stripes
379,Explícale (feat. Bad Bunny),Yandel
380,ติดกับ - เพลงประกอบซีรีส์ เพราะเราคู่กัน,Max Jenmana
"381,Zum Zum,""Daddy Yankee, R.K.M & Ken-Y, Arcangel"""
"382,X,""Nicky Jam, J Balvin"""
383,Fr Fr (feat. Lil Skies),Wiz Khalifa
"384,Quiero Repetir,""Ozuna, J Balvin"""
